
===== SHEET OPTIONS LIST (visible) 199x4 =====
A1=S.NO | B1=Name | C1=Symbol | D1=Lot Size (Dec-22)
A85=84 | B85=Hdfc Ltd | C85=HDFC | D85=300
A86=85 | B86=Hero Motocorp Ltd | C86=HEROMOTOCO | D86=300
A87=86 | B87=Hindalco Industries Ltd | C87=HINDALCO | D87=1075
A88=87 | B88=Hindustan Copper Ltd | C88=HINDCOPPER | D88=4300
A89=88 | B89=Hindustan Petroleum Ltd | C89=HINDPETRO | D89=2700
A90=89 | B90=Hindustan Unilever Ltd | C90=HINDUNILVR | D90=300
A91=90 | B91=Honeywell Automation Ltd | C91=HONAUT | D91=15
A92=91 | B92=Icici Bank Ltd | C92=ICICIBANK | D92=1375
A93=92 | B93=Icici Lombard General Insurance Ltd | C93=ICICIGI | D93=425
A94=93 | B94=Icici Prudential Life Insurance Ltd | C94=ICICIPRULI | D94=1500
A95=94 | B95=Idfc First Bank Ltd | C95=IDFCFIRSTB | D95=15000
A96=95 | B96=Idfc Ltd | C96=IDFC | D96=10000
A97=96 | B97=Indiabulls Housing Finance Ltd | C97=IBULHSGFIN | D97=4000
A98=97 | B98=India Cements Ltd | C98=INDIACEM | D98=2900
A99=98 | B99=Indiamart Intermesh Ltd | C99=INDIAMART | D99=150
A100=99 | B100=Indian Energy Exchange Ltd | C100=INDIACEM | D100=3750
A101=100 | B101=Indian Hotels Company Ltd | C101=INDHOTEL | D101=4022
A102=101 | B102=Indian Oil Corporation Ltd | C102=IOC | D102=9750
A103=102 | B103=Indigo Interglobe Aviation Ltd | C103=INDIGO | D103=300
A104=103 | B104=Indraprastha Gas Ltd | C104=IGL | D104=1375
A105=104 | B105=Indusind Bank Ltd | C105=INDUSINDBK | D105=900
A106=105 | B106=Infosys Ltd | C106=INFY | D106=300
A107=106 | B107=Intellect Design Arena Ltd | C107=INTELLECT | D107=750
A108=107 | B108=Ipca Laboratories Ltd | C108=IPCALAB | D108=650
A109=108 | B109=Irctc Ltd | C109=IRCTC | D109=875
A110=109 | B110=Itc Ltd | C110=ITC | D110=3200
A111=110 | B111=Jindal Steel Ltd | C111=JINDALSTEL | D111=1250
A112=111 | B112=Jk Cement Ltd | C112=JKCEMENT | D112=250
A113=112 | B113=Jsw Steel Ltd | C113=JSWSTEEL | D113=1350
A114=113 | B114=Jubilant Foodworks Ltd | C114=JUBLFOOD | D114=1250
A115=114 | B115=Kotak Mahindra Bank Ltd | C115=KOTAKBANK | D115=400
A116=115 | B116=Laurus Labs Ltd | C116=LAURUSLABS | D116=900
A117=116 | B117=Lic Housing Finance Ltd | C117=LICHSGFIN | D117=2000
A118=117 | B118=Lt Finance Holdings Ltd | C118=L&TFH | D118=8924
A119=118 | B119=Lti Larsen Toubro Infotech Ltd | C119=LTI | D119=150
A120=119 | B120=Lt Larsen Toubro Ltd | C120=LT | D120=300
A121=120 | B121=Lt Technology Services Ltd | C121=LTTS | D121=200
A122=121 | B122=Lupin Ltd | C122=LUPIN | D122=850
A123=122 | B123=Mahanagar Gas Ltd | C123=MGL | D123=800
